source_schema	source_table	source_column	target_schema	target_table	target_column	declaration_kind	declaration_paths
attendance	attendance	created_by_id	public	people	id	mixin_expansion	app/models/people/attendance/attendance.py:50 via app/models/people/base.py:61
attendance	attendance	employee_id	hr	employee	employee_id	explicit	app/models/people/attendance/attendance.py:84
attendance	attendance	updated_by_id	public	people	id	mixin_expansion	app/models/people/attendance/attendance.py:50 via app/models/people/base.py:66
attendance	attendance_request	created_by_id	public	people	id	mixin_expansion	app/models/people/attendance/attendance_request.py:32 via app/models/people/base.py:61
attendance	attendance_request	employee_id	hr	employee	employee_id	explicit	app/models/people/attendance/attendance_request.py:63
attendance	attendance_request	status_changed_by_id	public	people	id	mixin_expansion	app/models/people/attendance/attendance_request.py:32 via app/models/people/base.py:85
attendance	attendance_request	updated_by_id	public	people	id	mixin_expansion	app/models/people/attendance/attendance_request.py:32 via app/models/people/base.py:66
attendance	shift_assignment	created_by_id	public	people	id	mixin_expansion	app/models/people/attendance/shift_assignment.py:23 via app/models/people/base.py:61
attendance	shift_assignment	employee_id	hr	employee	employee_id	explicit	app/models/people/attendance/shift_assignment.py:51
attendance	shift_assignment	updated_by_id	public	people	id	mixin_expansion	app/models/people/attendance/shift_assignment.py:23 via app/models/people/base.py:66
attendance	shift_type	created_by_id	public	people	id	mixin_expansion	app/models/people/attendance/shift_type.py:30 via app/models/people/base.py:61
attendance	shift_type	updated_by_id	public	people	id	mixin_expansion	app/models/people/attendance/shift_type.py:30 via app/models/people/base.py:66
core_org	organization_branding	created_by_id	public	people	id	explicit	app/models/finance/core_org/organization_branding.py:261
expense	card_transaction	created_by_id	public	people	id	mixin_expansion	app/models/expense/corporate_card.py:169 via app/models/mixins.py:100|app/models/people/exp/corporate_card.py:169 via app/models/people/base.py:61
expense	card_transaction	updated_by_id	public	people	id	mixin_expansion	app/models/expense/corporate_card.py:169 via app/models/mixins.py:106|app/models/people/exp/corporate_card.py:169 via app/models/people/base.py:66
expense	cash_advance	approver_id	hr	employee	employee_id	explicit	app/models/expense/cash_advance.py:171|app/models/people/exp/cash_advance.py:171
expense	cash_advance	created_by_id	public	people	id	mixin_expansion	app/models/expense/cash_advance.py:50 via app/models/mixins.py:100|app/models/people/exp/cash_advance.py:50 via app/models/people/base.py:61
expense	cash_advance	employee_id	hr	employee	employee_id	explicit	app/models/expense/cash_advance.py:87|app/models/people/exp/cash_advance.py:87
expense	cash_advance	status_changed_by_id	public	people	id	mixin_expansion	app/models/expense/cash_advance.py:50 via app/models/mixins.py:156|app/models/people/exp/cash_advance.py:50 via app/models/people/base.py:85
expense	cash_advance	updated_by_id	public	people	id	mixin_expansion	app/models/expense/cash_advance.py:50 via app/models/mixins.py:106|app/models/people/exp/cash_advance.py:50 via app/models/people/base.py:66
expense	corporate_card	created_by_id	public	people	id	mixin_expansion	app/models/expense/corporate_card.py:47 via app/models/mixins.py:100|app/models/people/exp/corporate_card.py:47 via app/models/people/base.py:61
expense	corporate_card	employee_id	hr	employee	employee_id	explicit	app/models/expense/corporate_card.py:97|app/models/people/exp/corporate_card.py:97
expense	corporate_card	updated_by_id	public	people	id	mixin_expansion	app/models/expense/corporate_card.py:47 via app/models/mixins.py:106|app/models/people/exp/corporate_card.py:47 via app/models/people/base.py:66
expense	expense_approver_budget_adjustment	adjusted_by_id	public	people	id	explicit	app/models/expense/limit_rule.py:495
expense	expense_approver_limit	created_by_id	public	people	id	mixin_expansion	app/models/expense/limit_rule.py:315 via app/models/mixins.py:100
expense	expense_approver_limit	escalate_to_employee_id	hr	employee	employee_id	explicit	app/models/expense/limit_rule.py:389
expense	expense_approver_limit	updated_by_id	public	people	id	mixin_expansion	app/models/expense/limit_rule.py:315 via app/models/mixins.py:106
expense	expense_approver_limit_reset	approver_id	hr	employee	employee_id	explicit	app/models/expense/limit_rule.py:548
expense	expense_approver_limit_reset	reviewed_by_id	public	people	id	explicit	app/models/expense/limit_rule.py:563
expense	expense_category	created_by_id	public	people	id	mixin_expansion	app/models/expense/expense_claim.py:75 via app/models/mixins.py:100|app/models/people/exp/expense_claim.py:52 via app/models/people/base.py:61
expense	expense_category	updated_by_id	public	people	id	mixin_expansion	app/models/expense/expense_claim.py:75 via app/models/mixins.py:106|app/models/people/exp/expense_claim.py:52 via app/models/people/base.py:66
expense	expense_claim	approver_id	hr	employee	employee_id	explicit	app/models/expense/expense_claim.py:325|app/models/people/exp/expense_claim.py:270
expense	expense_claim	created_by_id	public	people	id	mixin_expansion	app/models/expense/expense_claim.py:151 via app/models/mixins.py:100|app/models/people/exp/expense_claim.py:128 via app/models/people/base.py:61
expense	expense_claim	employee_id	hr	employee	employee_id	explicit	app/models/expense/expense_claim.py:204|app/models/people/exp/expense_claim.py:172
expense	expense_claim	requested_approver_id	hr	employee	employee_id	explicit	app/models/expense/expense_claim.py:330|app/models/people/exp/expense_claim.py:275
expense	expense_claim	status_changed_by_id	public	people	id	mixin_expansion	app/models/expense/expense_claim.py:151 via app/models/mixins.py:156|app/models/people/exp/expense_claim.py:128 via app/models/people/base.py:85
expense	expense_claim	updated_by_id	public	people	id	mixin_expansion	app/models/expense/expense_claim.py:151 via app/models/mixins.py:106|app/models/people/exp/expense_claim.py:128 via app/models/people/base.py:66
expense	expense_claim_approval_step	approver_id	hr	employee	employee_id	explicit	app/models/expense/expense_claim_approval_step.py:83
expense	expense_limit_evaluation	evaluated_by_id	public	people	id	explicit	app/models/expense/limit_rule.py:677
expense	expense_limit_rule	created_by_id	public	people	id	mixin_expansion	app/models/expense/limit_rule.py:103 via app/models/mixins.py:100
expense	expense_limit_rule	updated_by_id	public	people	id	mixin_expansion	app/models/expense/limit_rule.py:103 via app/models/mixins.py:106
expense	expense_period_usage	employee_id	hr	employee	employee_id	explicit	app/models/expense/limit_rule.py:750
fa	asset	custodian_employee_id	hr	employee	employee_id	explicit	app/models/fixed_assets/asset.py:89
fleet	fuel_log_entry	created_by_id	public	people	id	mixin_expansion	app/models/fleet/fuel_log.py:26 via app/models/people/base.py:61
fleet	fuel_log_entry	employee_id	hr	employee	employee_id	explicit	app/models/fleet/fuel_log.py:60
fleet	fuel_log_entry	updated_by_id	public	people	id	mixin_expansion	app/models/fleet/fuel_log.py:26 via app/models/people/base.py:66
fleet	maintenance_record	created_by_id	public	people	id	mixin_expansion	app/models/fleet/maintenance.py:26 via app/models/people/base.py:61
fleet	maintenance_record	updated_by_id	public	people	id	mixin_expansion	app/models/fleet/maintenance.py:26 via app/models/people/base.py:66
fleet	vehicle	assigned_employee_id	hr	employee	employee_id	explicit	app/models/fleet/vehicle.py:224
fleet	vehicle	created_by_id	public	people	id	mixin_expansion	app/models/fleet/vehicle.py:51 via app/models/people/base.py:61
fleet	vehicle	updated_by_id	public	people	id	mixin_expansion	app/models/fleet/vehicle.py:51 via app/models/people/base.py:66
fleet	vehicle_assignment	created_by_id	public	people	id	mixin_expansion	app/models/fleet/vehicle_assignment.py:25 via app/models/people/base.py:61
fleet	vehicle_assignment	employee_id	hr	employee	employee_id	explicit	app/models/fleet/vehicle_assignment.py:64
