path	symbol	mechanism	occurrences	target_relations	protected_access	contract	resolution	owner	evidence
app/api/audit.py	delete_audit_event	get_db_admin_bypass	1	public.audit_events	yes	isolated_cross_tenant_service	isolate	audit	cross-tenant API targets RLS-protected audit.audit_log
app/api/audit.py	get_audit_event	get_db_admin_bypass	1	public.audit_events	yes	isolated_cross_tenant_service	isolate	audit	cross-tenant API targets RLS-protected audit.audit_log
app/api/audit.py	list_audit_events	get_db_admin_bypass	1	public.audit_events	yes	isolated_cross_tenant_service	isolate	audit	cross-tenant API targets RLS-protected audit.audit_log
app/api/auth.py	create_api_key	get_db_admin_bypass	1	public.api_keys|public.people	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	create_mfa_method	get_db_admin_bypass	1	public.mfa_methods|public.people	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	create_session	get_db_admin_bypass	1	public.people|public.sessions	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	create_user_credential	get_db_admin_bypass	1	public.domain_settings|public.people|public.user_credentials	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	delete_api_key	get_db_admin_bypass	1	public.api_keys	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads; api_keys inherits its tenant through person_id, which is nullable only by accident of 799a0ecebdd4 while every sibling identity table is NOT NULL, so the inherited path is enforced in practice and the NOT NULL repair is a recorded follow-up (docs/architecture/rls-bypass-boundary.md)
app/api/auth.py	delete_mfa_method	get_db_admin_bypass	1	public.mfa_methods	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	delete_session	get_db_admin_bypass	1	public.sessions	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	delete_user_credential	get_db_admin_bypass	1	public.user_credentials	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	generate_api_key	get_db_admin_bypass	1	public.api_keys|public.domain_settings|public.people	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	get_api_key	get_db_admin_bypass	1	public.api_keys	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads; api_keys inherits its tenant through person_id, which is nullable only by accident of 799a0ecebdd4 while every sibling identity table is NOT NULL, so the inherited path is enforced in practice and the NOT NULL repair is a recorded follow-up (docs/architecture/rls-bypass-boundary.md)
app/api/auth.py	get_mfa_method	get_db_admin_bypass	1	public.mfa_methods	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	get_session	get_db_admin_bypass	1	public.sessions	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	get_user_credential	get_db_admin_bypass	1	public.user_credentials	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	list_api_keys	get_db_admin_bypass	1	public.api_keys	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads; api_keys inherits its tenant through person_id, which is nullable only by accident of 799a0ecebdd4 while every sibling identity table is NOT NULL, so the inherited path is enforced in practice and the NOT NULL repair is a recorded follow-up (docs/architecture/rls-bypass-boundary.md)
app/api/auth.py	list_mfa_methods	get_db_admin_bypass	1	public.mfa_methods	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	list_sessions	get_db_admin_bypass	1	public.sessions	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	list_user_credentials	get_db_admin_bypass	1	public.user_credentials	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	update_api_key	get_db_admin_bypass	1	public.api_keys|public.people	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	update_mfa_method	get_db_admin_bypass	1	public.mfa_methods|public.people	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	update_session	get_db_admin_bypass	1	public.people|public.sessions	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	update_user_credential	get_db_admin_bypass	1	public.people|public.user_credentials	no	ordinary_app_user	fix	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth_flow.py	forgot_password	get_db_auth_bypass	1	public.domain_settings|public.email_profile|public.module_email_routing|public.people|public.user_credentials	yes	tenant_resolution_definer	fix	identity	identity bootstrap reaches RLS-protected public.people or core_org.organization
app/api/auth_flow.py	login	get_db_auth_bypass	1	audit.audit_log|public.domain_settings|public.mfa_methods|public.people|public.permissions|public.person_roles|public.role_permissions|public.roles|public.sessions|public.user_credentials	yes	tenant_resolution_definer	fix	identity	identity bootstrap reaches RLS-protected public.people or core_org.organization
app/api/auth_flow.py	logout	get_db_auth_bypass	1	audit.audit_log|public.domain_settings|public.people|public.sessions	yes	tenant_resolution_definer	fix	identity	identity bootstrap reaches RLS-protected public.people or core_org.organization
app/api/auth_flow.py	mfa_confirm	get_db_auth_bypass	1	audit.audit_log|public.domain_settings|public.mfa_methods|public.people	yes	tenant_resolution_definer	fix	identity	identity bootstrap reaches RLS-protected public.people or core_org.organization
